edition,tournament_id,year,country,team_id,team_code,confederation,placement,position,matches_played,gs,ga,start_elo,finish_elo,elo_change,next_edition,next_placement,next_position
1982,WC-1982,1982,El Salvador,SLV,SLV,CONCACAF,Group Stage,24,3,1,13,1608,1557,-51,,,
1982,WC-1982,1982,Honduras,HND,HND,CONCACAF,Group Stage,24,3,2,3,1600,1623,23,2010,Group Stage,32
1982,WC-1982,1982,Hungary,HUN,HUN,UEFA,Group Stage,24,3,12,6,1797,1815,18,1986,Group Stage,24
1982,WC-1982,1982,Kuwait,KWT,KWT,AFC,Group Stage,24,3,2,6,1629,1618,-11,,,
1982,WC-1982,1982,New Zealand,NZL,NZL,OFC,Group Stage,24,3,2,12,1596,1562,-34,2010,Group Stage,32
1982,WC-1982,1982,Peru,PER,PER,CONMEBOL,Group Stage,24,3,2,6,1776,1742,-34,2018,Group Stage,32
1982,WC-1982,1982,Scotland,SCO,SCO,UEFA,Group Stage,24,3,8,8,1840,1854,14,1986,Group Stage,24
1982,WC-1982,1982,Yugoslavia,YUG,YUG,UEFA,Group Stage,24,3,2,2,1917,1890,-27,1990,Quarter-final,8
1986,WC-1986,1986,Argentina,ARG,ARG,CONMEBOL,Winner,1,7,14,5,1874,2011,137,1990,Runner-up,2
1986,WC-1986,1986,France,FRA,FRA,UEFA,Third Place,3,7,12,6,1995,2022,27,1998,Winner,1
1986,WC-1986,1986,Belgium,BEL,BEL,UEFA,Fourth Place,4,7,12,15,1824,1816,-8,1990,Round of 16,16
1986,WC-1986,1986,Germany,GER,DEU,UEFA,Semi-final,4,7,8,7,1940,1965,25,1990,Semi-final,4
1986,WC-1986,1986,Brazil,BRA,BRA,CONMEBOL,Quarter-final,8,5,10,1,1915,2017,102,1990,Round of 16,16
1986,WC-1986,1986,England,ENG,ENG,UEFA,Quarter-final,8,5,7,3,1990,1963,-27,1990,Fourth Place,4
1986,WC-1986,1986,Mexico,MEX,MEX,CONCACAF,Quarter-final,8,5,6,2,1841,1881,40,1994,Round of 16,16
1986,WC-1986,1986,Spain,ESP,ESP,UEFA,Quarter-final,8,5,11,4,1902,1979,77,1990,Round of 16,16
1986,WC-1986,1986,Bulgaria,BGR,BGR,UEFA,Round of 16,16,4,2,6,1844,1767,-77,1994,Fourth Place,4
1986,WC-1986,1986,Denmark,DNK,DNK,UEFA,Round of 16,16,4,10,6,1893,1939,46,1998,Quarter-final,8
1986,WC-1986,1986,Italy,ITA,ITA,UEFA,Round of 16,16,4,5,6,1884,1865,-19,1990,Third Place,3
1986,WC-1986,1986,Morocco,MAR,MAR,CAF,Round of 16,16,4,3,2,1642,1738,96,1994,Group Stage,24
1986,WC-1986,1986,Paraguay,PRY,PRY,CONMEBOL,Round of 16,16,4,4,6,1812,1800,-12,1998,Round of 16,16
1986,WC-1986,1986,Poland,POL,POL,UEFA,Round of 16,16,4,1,7,1805,1761,-44,2002,Group Stage,32
1986,WC-1986,1986,Soviet Union,SUN,SUN,UEFA,Round of 16,16,4,12,5,1940,1960,20,1990,Group Stage,24
1986,WC-1986,1986,Uruguay,URY,URY,CONMEBOL,Round of 16,16,4,2,8,1841,1778,-63,1990,Round of 16,16
1986,WC-1986,1986,Algeria,DZA,DZA,CAF,Group Stage,24,3,1,5,1618,1609,-9,2010,Group Stage,32
1986,WC-1986,1986,Canada,CAN,CAN,CONCACAF,Group Stage,24,3,0,5,1648,1610,-38,2022,Group Stage,32
